threshold,sensitivity,specificity,precision_ppv,negative_predictive_value,f1,accuracy,tp,tn,fp,fn
0.82,0.38016528925619836,0.9866666666666667,0.9787234042553191,0.4966442953020134,0.5476190476190477,0.6122448979591837,46,74,1,75
0.83,0.36363636363636365,0.9866666666666667,0.9777777777777777,0.4900662251655629,0.5301204819277109,0.6020408163265306,44,74,1,77
0.84,0.34710743801652894,0.9866666666666667,0.9767441860465116,0.48366013071895425,0.5121951219512195,0.5918367346938775,42,74,1,79
0.85,0.3140495867768595,0.9866666666666667,0.9743589743589743,0.4713375796178344,0.475,0.5714285714285714,38,74,1,83
0.86,0.30578512396694213,0.9866666666666667,0.9736842105263158,0.46835443037974683,0.46540880503144655,0.5663265306122449,37,74,1,84
0.87,0.2975206611570248,0.9866666666666667,0.972972972972973,0.46540880503144655,0.45569620253164556,0.5612244897959183,36,74,1,85
0.88,0.2809917355371901,0.9866666666666667,0.9714285714285714,0.45962732919254656,0.4358974358974359,0.5510204081632653,34,74,1,87
0.89,0.2644628099173554,0.9866666666666667,0.9696969696969697,0.4539877300613497,0.4155844155844156,0.5408163265306123,32,74,1,89
0.9,0.256198347107438,0.9866666666666667,0.96875,0.45121951219512196,0.40522875816993464,0.5357142857142857,31,74,1,90
0.91,0.2396694214876033,0.9866666666666667,0.9666666666666667,0.4457831325301205,0.3841059602649007,0.5255102040816326,29,74,1,92
0.92,0.2066115702479339,0.9866666666666667,0.9615384615384616,0.43529411764705883,0.3401360544217687,0.5051020408163265,25,74,1,96
0.93,0.15702479338842976,0.9866666666666667,0.95,0.42045454545454547,0.2695035460992908,0.4744897959183674,19,74,1,102
0.94,0.1322314049586777,1.0,1.0,0.4166666666666667,0.23357664233576642,0.4642857142857143,16,75,0,105
0.95,0.11570247933884298,1.0,1.0,0.41208791208791207,0.2074074074074074,0.45408163265306123,14,75,0,107
0.96,0.09090909090909091,1.0,1.0,0.40540540540540543,0.16666666666666666,0.4387755102040816,11,75,0,110
0.97,0.08264462809917356,1.0,1.0,0.4032258064516129,0.15267175572519084,0.4336734693877551,10,75,0,111
0.98,0.06611570247933884,1.0,1.0,0.39893617021276595,0.12403100775193798,0.42346938775510207,8,75,0,113
0.99,0.03305785123966942,1.0,1.0,0.390625,0.064,0.4030612244897959,4,75,0,117
